epoch,lr-Adam,step,test_loss,test_mae,test_r2,test_rmse,train_loss,train_mae,train_r2,train_rmse,val_loss,val_mae,val_r2,val_rmse
,0.001,0,,,,,,,,,,,,
0,,76,,,,,,,,,215337598976.0,438299.8125,-8.258899688720703,464044.8125
0,,76,,,,,219852406784.0,442738.6875,-8.22160816192627,468884.21875,,,,
,0.001,77,,,,,,,,,,,,
1,,153,,,,,,,,,208091873280.0,430229.3125,-7.947353363037109,456170.875
1,,153,,,,,216820236288.0,439423.875,-8.094408988952637,465639.59375,,,,
,0.001,154,,,,,,,,,,,,
2,,230,,,,,,,,,177930403840.0,394436.96875,-6.650496959686279,421817.96875
2,,230,,,,,199831633920.0,420066.34375,-7.381845474243164,447025.3125,,,,
,0.001,231,,,,,,,,,,,,
3,,307,,,,,,,,,105997729792.0,290492.90625,-3.55759859085083,325572.9375
3,,307,,,,,149206614016.0,354730.28125,-5.258402347564697,386272.71875,,,,
,0.001,308,,,,,,,,,,,,
4,,384,,,,,,,,,24722724864.0,109251.609375,-0.06300628185272217,157234.625
4,,384,,,,,63468179456.0,199716.765625,-1.662142038345337,251928.921875,,,,
,0.001,385,,,,,,,,,,,,
5,,461,,,,,,,,,8974747648.0,67687.9609375,0.614111602306366,94735.1484375
5,,461,,,,,16664612864.0,94494.5546875,0.3010109066963196,129091.4921875,,,,
,0.001,462,,,,,,,,,,,,
6,,538,,,,,,,,,4399861248.0,46518.46875,0.8108185529708862,66331.453125
6,,538,,,,,7534665728.0,63465.015625,0.6839615702629089,86802.453125,,,,
,0.001,539,,,,,,,,,,,,
7,,615,,,,,,,,,3459675136.0,41843.26953125,0.8512439131736755,58819.00390625
7,,615,,,,,5272866816.0,53896.76171875,0.7788325548171997,72614.5078125,,,,
,0.001,616,,,,,,,,,,,,
8,,692,,,,,,,,,3149982208.0,40842.2109375,0.8645597696304321,56124.703125
8,,692,,,,,4684957696.0,51365.16796875,0.8034917116165161,68446.75,,,,
,0.001,693,,,,,,,,,,,,
9,,769,,,,,,,,,2975364096.0,39547.46484375,0.8720678687095642,54546.8984375
9,,769,,,,,4350569472.0,49643.30859375,0.8175174593925476,65958.84375,,,,
,0.001,770,,,,,,,,,,,,
10,,846,,,,,,,,,2840918784.0,39549.94921875,0.8778486251831055,53300.26953125
10,,846,,,,,4100577536.0,48453.38671875,0.8280037641525269,64035.75390625,,,,
,0.001,847,,,,,,,,,,,,
11,,923,,,,,,,,,2763430144.0,39177.203125,0.8811804056167603,52568.3359375
11,,923,,,,,3929259776.0,47662.1328125,0.8351891040802002,62683.80859375,,,,
,0.001,924,,,,,,,,,,,,
12,,1000,,,,,,,,,2715841280.0,38507.27734375,0.8832266330718994,52113.734375
12,,1000,,,,,3805589248.0,47015.81640625,0.840377151966095,61689.45703125,,,,
,0.001,1001,,,,,,,,,,,,
13,,1077,,,,,,,,,2634964224.0,38134.53125,0.8867040872573853,51331.90234375
13,,1077,,,,,3670236416.0,46189.8828125,0.8460533618927002,60582.4765625,,,,
,0.001,1078,,,,,,,,,,,,
14,,1154,,,,,,,,,2555132672.0,37764.35546875,0.8901365995407104,50548.3203125
14,,1154,,,,,3541908992.0,45417.3671875,0.8514354825019836,59513.94140625,,,,
,0.001,1155,,,,,,,,,,,,
15,,1231,,,,,,,,,2480035328.0,37123.77734375,0.8933656215667725,49799.953125
15,,1231,,,,,3402006272.0,44628.21484375,0.8573042750358582,58326.71875,,,,
,0.001,1232,,,,,,,,,,,,
16,,1308,,,,,,,,,2409794816.0,36737.921875,0.8963857293128967,49089.66015625
16,,1308,,,,,3273394432.0,43740.3203125,0.8626992106437683,57213.5859375,,,,
,0.001,1309,,,,,,,,,,,,
17,,1385,,,,,,,,,2320206336.0,35986.546875,0.9002377986907959,48168.51953125
17,,1385,,,,,3148550144.0,42911.50390625,0.867935299873352,56111.94140625,,,,
,0.001,1386,,,,,,,,,,,,
18,,1462,,,,,,,,,2224409600.0,35344.94921875,0.9043567776679993,47163.6484375
18,,1462,,,,,3012660480.0,41949.26953125,0.873635470867157,54887.70703125,,,,
,0.001,1463,,,,,,,,,,,,
19,,1539,,,,,,,,,2133253888.0,34488.8671875,0.9082762002944946,46187.16015625
19,,1539,,,,,2872791552.0,40986.05859375,0.8795018196105957,53598.4296875,,,,
,0.001,1540,,,,,,,,,,,,
20,,1616,,,,,,,,,2032233856.0,33738.90234375,0.9126197695732117,45080.3046875
20,,1616,,,,,2734594048.0,39873.81640625,0.8852993249893188,52293.34765625,,,,
,0.001,1617,,,,,,,,,,,,
21,,1693,,,,,,,,,1955853824.0,32893.26953125,0.9159039258956909,44225.03515625
21,,1693,,,,,2605557760.0,38932.18359375,0.8907111287117004,51044.6640625,,,,
,0.001,1694,,,,,,,,,,,,
22,,1770,,,,,,,,,1896301056.0,32300.197265625,0.9184644818305969,43546.5390625
22,,1770,,,,,2489221632.0,37986.50390625,0.8955907821655273,49892.1015625,,,,
,0.001,1771,,,,,,,,,,,,
23,,1847,,,,,,,,,1848756352.0,31741.619140625,0.9205088019371033,42997.16796875
23,,1847,,,,,2406184192.0,37235.33984375,0.8990734219551086,49052.87109375,,,,
,0.001,1848,,,,,,,,,,,,
24,,1924,,,,,,,,,1806662272.0,31300.5078125,0.922318696975708,42504.8515625
24,,1924,,,,,2364681216.0,36855.6875,0.900814950466156,48627.98828125,,,,
,0.001,1925,,,,,,,,,,,,
25,,2001,,,,,,,,,1772938112.0,30933.869140625,0.9237687587738037,42106.2734375
25,,2001,,,,,2275111424.0,36058.7890625,0.904571533203125,47698.12890625,,,,
,0.001,2002,,,,,,,,,,,,
26,,2078,,,,,,,,,1776381696.0,30739.6796875,0.9236207008361816,42147.14453125
26,,2078,,,,,2238121216.0,35696.8671875,0.9061228036880493,47308.78515625,,,,
,0.001,2079,,,,,,,,,,,,
27,,2155,,,,,,,,,1723078400.0,30435.2578125,0.9259125590324402,41509.98046875
27,,2155,,,,,2198405888.0,35325.45703125,0.907789409160614,46887.16015625,,,,
,0.001,2156,,,,,,,,,,,,
28,,2232,,,,,,,,,1703106048.0,30169.8359375,0.926771342754364,41268.70703125
28,,2232,,,,,2144841984.0,34851.78125,0.910035252571106,46312.4375,,,,
,0.001,2233,,,,,,,,,,,,
29,,2309,,,,,,,,,1690789504.0,29973.046875,0.9273009300231934,41119.2109375
29,,2309,,,,,2119703168.0,34531.93359375,0.9110898971557617,46040.234375,,,,
,0.001,2310,,,,,,,,,,,,
30,,2386,,,,,,,,,1681674880.0,29835.791015625,0.9276927709579468,41008.23046875
30,,2386,,,,,2077852160.0,34260.390625,0.9128459095954895,45583.46484375,,,,
,0.001,2387,,,,,,,,,,,,
31,,2463,,,,,,,,,1659871360.0,29672.052734375,0.9286302924156189,40741.51953125
31,,2463,,,,,2040244992.0,33887.171875,0.9144227504730225,45169.0703125,,,,
,0.001,2464,,,,,,,,,,,,
32,,2540,,,,,,,,,1658489984.0,29495.140625,0.92868971824646,40724.5625
32,,2540,,,,,2008514176.0,33529.94921875,0.9157535433769226,44816.44921875,,,,
,0.001,2541,,,,,,,,,,,,
33,,2617,,,,,,,,,1640620160.0,29368.4296875,0.9294580221176147,40504.5703125
33,,2617,,,,,1992666368.0,33319.9921875,0.9164184331893921,44639.29296875,,,,
,0.001,2618,,,,,,,,,,,,
34,,2694,,,,,,,,,1632114688.0,29271.353515625,0.9298237562179565,40399.4375
34,,2694,,,,,1964364800.0,33117.66015625,0.9176056385040283,44321.15625,,,,
,0.001,2695,,,,,,,,,,,,
35,,2771,,,,,,,,,1616881408.0,29257.91796875,0.9304787516593933,40210.46484375
35,,2771,,,,,1935279872.0,32774.7734375,0.9188255667686462,43991.81640625,,,,
,0.001,2772,,,,,,,,,,,,
36,,2848,,,,,,,,,1607011584.0,29020.54296875,0.9309031367301941,40087.55078125
36,,2848,,,,,1910455296.0,32495.83203125,0.9198668003082275,43708.75390625,,,,
,0.001,2849,,,,,,,,,,,,
37,,2925,,,,,,,,,1600505600.0,28913.25,0.931182861328125,40006.3203125
37,,2925,,,,,1889102592.0,32335.62890625,0.9207625389099121,43463.80859375,,,,
,0.001,2926,,,,,,,,,,,,
38,,3002,,,,,,,,,1588589696.0,28904.11328125,0.9316952228546143,39857.1171875
38,,3002,,,,,1869442688.0,32082.966796875,0.9215869307518005,43237.05078125,,,,
,0.001,3003,,,,,,,,,,,,
39,,3079,,,,,,,,,1582829568.0,28776.28125,0.931942880153656,39784.7890625
39,,3079,,,,,1842079616.0,31846.376953125,0.9227349162101746,42919.453125,,,,
,0.001,3080,,,,,,,,,,,,
40,,3156,,,,,,,,,1571552896.0,28627.888671875,0.9324277639389038,39642.81640625
40,,3156,,,,,1827906048.0,31732.23828125,0.92332923412323,42754.01953125,,,,
,0.001,3157,,,,,,,,,,,,
41,,3233,,,,,,,,,1571105152.0,28714.2265625,0.9324469566345215,39637.16796875
41,,3233,,,,,1803257728.0,31425.03515625,0.9243632555007935,42464.78125,,,,
,0.001,3234,,,,,,,,,,,,
42,,3310,,,,,,,,,1564007040.0,28481.392578125,0.9327521920204163,39547.52734375
42,,3310,,,,,1776906752.0,31224.41015625,0.9254684448242188,42153.37109375,,,,
,0.001,3311,,,,,,,,,,,,
43,,3387,,,,,,,,,1549434752.0,28359.943359375,0.9333787560462952,39362.859375
43,,3387,,,,,1768711424.0,30957.84375,0.9258121848106384,42056.05078125,,,,
,0.001,3388,,,,,,,,,,,,
44,,3464,,,,,,,,,1560831488.0,28309.72265625,0.9328887462615967,39507.359375
44,,3464,,,,,1754436608.0,30889.865234375,0.9264111518859863,41885.99609375,,,,
,0.001,3465,,,,,,,,,,,,
45,,3541,,,,,,,,,1538240768.0,28197.32421875,0.9338600635528564,39220.4140625
45,,3541,,,,,1727276672.0,30684.890625,0.9275500774383545,41560.51953125,,,,
,0.001,3542,,,,,,,,,,,,
46,,3618,,,,,,,,,1534267648.0,28130.373046875,0.9340308904647827,39169.73046875
46,,3618,,,,,1710998784.0,30516.81640625,0.928232729434967,41364.22265625,,,,
,0.001,3619,,,,,,,,,,,,
47,,3695,,,,,,,,,1522717056.0,28085.642578125,0.9345275163650513,39022.0078125
47,,3695,,,,,1698206976.0,30395.1328125,0.9287694692611694,41209.30859375,,,,
,0.001,3696,,,,,,,,,,,,
48,,3772,,,,,,,,,1523519616.0,27994.755859375,0.9344930052757263,39032.2890625
48,,3772,,,,,1686969856.0,30221.43359375,0.9292410612106323,41072.73828125,,,,
,0.001,3773,,,,,,,,,,,,
49,,3849,,,,,,,,,1503059840.0,27993.837890625,0.9353727102279663,38769.31640625
49,,3849,,,,,1664641792.0,29979.626953125,0.9301774501800537,40800.0234375,,,,
50,,3850,5216788992.0,60466.34375,0.8027827739715576,72227.34375,,,,,,,,
